10,Test,Version,Clinic,InterviewerId,UserId,UserStartDateTime,ScreenId,IfCorrect1Else0,ElapsedTime_ms,CorrectAnswer,ResponseStimulusInterval_ms,Empty,Empty,Dummy
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT08,1,370,Right,350,,,9
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT09,1,440,Right,650,,,10
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT10,1,369,Left,150,,,11
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT11,1,371,Left,450,,,12
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT12,1,264,Right,750,,,13
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT13,1,261,Left,250,,,14
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT14,1,258,Right,550,,,15
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT15,1,387,Left,50,,,16
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT16,1,406,Left,350,,,17
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT17,1,231,Right,650,,,18
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT18,1,419,Right,150,,,19
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT19,1,299,Left,450,,,20
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT20,1,383,Right,750,,,21
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT21,1,443,Right,250,,,22
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT22,1,430,Right,550,,,23
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT23,1,411,Left,50,,,24
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT24,1,366,Right,350,,,25
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT25,1,323,Left,650,,,26
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT26,1,492,Left,150,,,27
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT27,1,245,Right,450,,,28
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT28,1,413,Right,750,,,29
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT29,1,443,Right,250,,,30
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT30,1,379,Left,550,,,31
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT31,1,407,Left,50,,,32
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT32,1,308,Right,350,,,33
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT33,1,482,Right,650,,,34
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT34,1,332,Left,150,,,35
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT35,1,277,Right,450,,,36
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT36,1,312,Left,750,,,37
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT37,1,360,Right,250,,,38
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT38,1,274,Left,550,,,39
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT39,1,525,Left,50,,,40
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT40,1,323,Right,350,,,41
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT41,1,304,Left,650,,,42
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT42,1,366,Right,150,,,43
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT43,1,323,Left,450,,,44
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT44,1,420,Left,750,,,45
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT45,1,433,Left,250,,,46
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT46,1,263,Right,550,,,47
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT47,1,494,Right,50,,,48
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT48,1,304,Left,350,,,49
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT49,1,237,Right,650,,,50
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT50,1,378,Left,150,,,51
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT51,1,240,Right,450,,,52
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT52,1,468,Right,750,,,53
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT53,1,283,Left,250,,,54
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT54,1,404,Left,550,,,55
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT55,1,511,Left,50,,,56
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT56,1,266,Right,350,,,57
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT57,1,382,Right,650,,,58
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT58,1,322,Left,150,,,59
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT59,1,261,Right,450,,,60
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT60,1,425,Left,750,,,61
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT61,1,467,Left,250,,,62
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT62,1,274,Right,550,,,63
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT63,1,417,Right,50,,,64
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT64,1,290,Left,350,,,65
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT65,1,420,Left,650,,,66
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT66,1,507,Left,150,,,67
11,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,RT67,1,274,Right,450,,,68
12,Reaction,vC1.3.3t,CLINIC_NAME,INTERVIEWER_ID,BARCODE,11/17/2021 12:26:54 PM,Level,1,EndDateTime,11/17/2021 12:28:02 PM,StartDateTimes,11/17/2021 12:26:54 PM,11/17/2021 12:27:10 PM,69
